CCG or Health Board;Practice Name;Abtard;Ebesque XL;Fencino;Venlalic XL;Grand Total
ABERTAWE BRO MORGAN UNI;Heathbridge House;2 547,00;7 872,00;2 478,00;3 199,00;16 096,00
ABERTAWE BRO MORGAN UNI;High Street Surgery;79,00;1 088,00;0,00;85,00;1 252,00
ABERTAWE BRO MORGAN UNI;Kings Road Surgery;348,00;966,00;31,00;0,00;1 345,00
ABERTAWE BRO MORGAN UNI;Kings Surgery;0,00;2 365,00;100,00;381,00;2 846,00
ABERTAWE BRO MORGAN UNI;Kingsway Surgery;570,00;5 596,00;1 302,00;1 004,00;8 472,00
ABERTAWE BRO MORGAN UNI;Llansamlet Surgery;367,00;1 809,00;472,00;229,00;2 877,00
ABERTAWE BRO MORGAN UNI;Llynfi Surgery;5 133,00;5 730,00;261,00;1 530,00;12 654,00
ABERTAWE BRO MORGAN UNI;Llysmeddyg Surgery;0,00;0,00;0,00;0,00;0,00
ABERTAWE BRO MORGAN UNI;Manselton Surgery;75,00;0,00;619,00;0,00;694,00
ABERTAWE BRO MORGAN UNI;Mayhill Surgery;6,00;2 254,00;50,00;769,00;3 079,00
ABERTAWE BRO MORGAN UNI;Morrison Road Surgery;0,00;0,00;0,00;0,00;0,00
ABERTAWE BRO MORGAN UNI;Mount Surgery;587,00;4 582,00;417,00;249,00;5 835,00
ABERTAWE BRO MORGAN UNI;Nantyffyllon Surgery;96,00;68,00;90,00;0,00;254,00
ABERTAWE BRO MORGAN UNI;Nantymoel Surgery;896,00;2 596,00;315,00;3 017,00;6 824,00
ABERTAWE BRO MORGAN UNI;New Cross Surgery;24,00;877,00;51,00;0,00;935,00
ABERTAWE BRO MORGAN UNI;New Street Surgery;1 046,00;5 334,00;3 069,00;754,00;10 203,00
ABERTAWE BRO MORGAN UNI;Newcastle Surgery;181,00;329,00;136,00;91,00;737,00
ABERTAWE BRO MORGAN UNI;Nicholl Street Medical Centre;289,00;1 902,00;986,00;2 507,00;5 684,00
ABERTAWE BRO MORGAN UNI;Oak Tree Surgery;1 562,00;7 183,00;3 240,00;3 107,00;15 092,00
ABERTAWE BRO MORGAN UNI;Ogmore Vale Surgery;61,00;4 541,00;990,00;282,00;5 874,00
ABERTAWE BRO MORGAN UNI;Penclawdd Health Centre;471,00;0,00;0,00;198,00;669,00
ABERTAWE BRO MORGAN UNI;Penybryn Surgery;19,00;404,00;413,00;576,00;1 412,00
ABERTAWE BRO MORGAN UNI;Pontardawe Primary Care Centre;787,00;3 264,00;902,00;156,00;5 109,00
ABERTAWE BRO MORGAN UNI;Princess Street Surgery;175,00;5 819,00;204,00;538,00;6 736,00
ABERTAWE BRO MORGAN UNI;Riversdale House;3 175,00;2 789,00;1 061,00;1 502,00;8 527,00
ABERTAWE BRO MORGAN UNI;Riverside Surgery;1 897,00;5 060,00;31,00;1 720,00;8 708,00
ABERTAWE BRO MORGAN UNI;Rosedale Medical Practice;904,00;5 609,00;568,00;352,00;7 433,00
ABERTAWE BRO MORGAN UNI;Sketty & Killay Medical Centre;1 874,00;5 597,00;2 499,00;653,00;10 623,00
ABERTAWE BRO MORGAN UNI;Skewen Medical Centre;517,00;2 497,00;994,00;60,00;4 068,00
ABERTAWE BRO MORGAN UNI;St Helens Medical Centre;182,00;1 542,00;328,00;72,00;2 124,00
ABERTAWE BRO MORGAN UNI;St. Thomas Surgery;1 233,00;2 044,00;719,00;126,00;4 122,00
ABERTAWE BRO MORGAN UNI;St.James Medical Centre;0,00;0,00;0,00;0,00;0,00
ABERTAWE BRO MORGAN UNI;Strawberry Place Surgery;295,00;1 156,00;560,00;242,00;2 253,00
ABERTAWE BRO MORGAN UNI;Sway Rd Surgery;482,00;0,00;235,00;0,00;717,00
ABERTAWE BRO MORGAN UNI;Tabernacle Surgery;25,00;115,00;0,00;140,00;280,00
ABERTAWE BRO MORGAN UNI;Talybont Surgery;1 025,00;440,00;162,00;311,00;1 938,00
ABERTAWE BRO MORGAN UNI;The Beacon Centre For Health;1 019,00;3 061,00;590,00;700,00;5 370,00
ABERTAWE BRO MORGAN UNI;The Grove Medical Centre;174,00;1 397,00;114,00;372,00;2 057,00
ABERTAWE BRO MORGAN UNI;The Medical Centre;2 409,00;6 699,00;684,00;716,00;10 508,00
ABERTAWE BRO MORGAN UNI;The Mumbles Medical Practice;1 013,00;1 759,00;1 057,00;529,00;4 358,00
ABERTAWE BRO MORGAN UNI;The New Surgery;2 926,00;688,00;837,00;2 346,00;6 797,00
ABERTAWE BRO MORGAN UNI;The Pharmacy;114,00;4 793,00;0,00;0,00;4 907,00
ABERTAWE BRO MORGAN UNI;The Portway Surgery;3 827,00;3 145,00;1 987,00;2 512,00;11 471,00
ABERTAWE BRO MORGAN UNI;The Surgery;722,00;867,00;318,00;337,00;2 244,00
ABERTAWE BRO MORGAN UNI;Tynycoed Surgery;3 363,00;5 647,00;1 930,00;3 846,00;14 786,00
ABERTAWE BRO MORGAN UNI;Ty'R Felin Surgery;291,00;1 130,00;70,00;760,00;2 251,00
ABERTAWE BRO MORGAN UNI;University Health Centre;0,00;0,00;24,00;0,00;23,00
ABERTAWE BRO MORGAN UNI;Uplands & Mumbles Surgery;1 978,00;4 024,00;1 060,00;440,00;7 502,00
ABERTAWE BRO MORGAN UNI;Vale Of Neath Practice;1 110,00;915,00;1 519,00;656,00;4 200,00
ABERTAWE BRO MORGAN UNI;Victoria Gardens Surgery;0,00;4 676,00;0,00;57,00;4 733,00
ABERTAWE BRO MORGAN UNI;Waterside Medical Practice;97,00;3 553,00;388,00;268,00;4 306,00
ABERTAWE BRO MORGAN UNI;Woodlands Surgery;160,00;2 395,00;50,00;987,00;3 592,00
ANEURIN BEVAN;Aberbeeg Medical Centre;0,00;0,00;0,00;94,00;94,00
ANEURIN BEVAN;Abernant Surgery Bridge Centre;930,00;2 066,00;462,00;1 780,00;5 238,00
ANEURIN BEVAN;Alternative P C Serv Doctor;0,00;120,00;0,00;38,00;158,00
ANEURIN BEVAN;Aparajita Surgery;1 242,00;643,00;1 517,00;855,00;4 257,00
ANEURIN BEVAN;Avicenna Medical Centre;249,00;8 909,00;1 211,00;485,00;10 854,00
ANEURIN BEVAN;Bargoed Hall;1 874,00;1 696,00;98,00;640,00;4 308,00
ANEURIN BEVAN;Beechwood Surgery;2 420,00;3 248,00;609,00;1 339,00;7 616,00
ANEURIN BEVAN;Bellevue Surgery;1 706,00;7 916,00;138,00;1 909,00;11 669,00
ANEURIN BEVAN;Blaenavon Medical Practice;1 559,00;0,00;520,00;1 171,00;3 250,00
ANEURIN BEVAN;Blaen-Y-Cwm Group Practice;1 483,00;2 255,00;1 431,00;94,00;5 263,00
ANEURIN BEVAN;Blaina Medical Practice;38,00;1 378,00;12,00;216,00;1 644,00
ANEURIN BEVAN;Bryngwyn Surgery;76,00;980,00;778,00;363,00;2 197,00
ANEURIN BEVAN;Bryntirion Surgery;1 995,00;8 912,00;156,00;940,00;12 003,00
ANEURIN BEVAN;Central Surgery;0,00;8 855,00;0,00;65,00;8 920,00
ANEURIN BEVAN;Chippenham Surgery;758,00;3 021,00;3 036,00;1 031,00;7 846,00
ANEURIN BEVAN;Churchwood Surgery;2 385,00;436,00;1 784,00;560,00;5 165,00
ANEURIN BEVAN;Clark Avenue Surgery;713,00;680,00;1 508,00;1 700,00;4 601,00
ANEURIN BEVAN;Court House Medical Practice;1 141,00;1 737,00;818,00;2 583,00;6 279,00
ANEURIN BEVAN;Crown Street Surgery;0,00;0,00;0,00;0,00;0,00
ANEURIN BEVAN;Cwm Calon;335,00;1 847,00;0,00;93,00;2 275,00
ANEURIN BEVAN;Cwm Health Centre;493,00;1 700,00;363,00;24,00;2 580,00
ANEURIN BEVAN;Cwmbran Village Surgery;1 018,00;2 193,00;1 110,00;2 131,00;6 452,00
ANEURIN BEVAN;Dixton Road Surgery;350,00;840,00;70,00;1 286,00;2 546,00
ANEURIN BEVAN;Eveswell Surgery;129,00;1 579,00;1 893,00;263,00;3 864,00
ANEURIN BEVAN;Fairwater Medical Centre;569,00;237,00;1 502,00;1 680,00;3 988,00
ANEURIN BEVAN;Gaer Medical Centre;164,00;1 092,00;78,00;0,00;1 334,00
ANEURIN BEVAN;Gelligaer Surgery;3 317,00;3 084,00;0,00;604,00;7 005,00
ANEURIN BEVAN;Glan Rhyd Surgery;42,00;6 359,00;240,00;818,00;7 459,00
ANEURIN BEVAN;Glan Yr Afon Surgery;1 216,00;3 425,00;371,00;498,00;5 510,00
ANEURIN BEVAN;Glyn Ebwy Surgery;624,00;1 912,00;1 951,00;1 421,00;5 908,00
ANEURIN BEVAN;Grange Clinic;1 505,00;6 290,00;934,00;712,00;9 441,00
ANEURIN BEVAN;Gray Hill Surgery;6 072,00;7 064,00;3 710,00;2 400,00;19 246,00
ANEURIN BEVAN;Greenmeadow Surgery;1 921,00;887,00;1 944,00;1 524,00;6 276,00
ANEURIN BEVAN;Gwent Healthcare Trust;105,00;27,00;33,00;80,00;245,00
ANEURIN BEVAN;Health Centre;2 549,00;5 836,00;0,00;370,00;8 755,00
ANEURIN BEVAN;Hereford Road Surgery;1 088,00;1 752,00;168,00;96,00;3 104,00
ANEURIN BEVAN;Isca Medical Centre;2 409,00;1 092,00;11,00;2 504,00;6 016,00
ANEURIN BEVAN;Lansbury Surgery;3 401,00;1 872,00;0,00;152,00;5 425,00
ANEURIN BEVAN;Llanyravon Surgery;1 582,00;1 061,00;32,00;1 923,00;4 598,00
ANEURIN BEVAN;Lliswerry Medical Centre;259,00;17,00;323,00;428,00;1 027,00
ANEURIN BEVAN;Local Enhanced Service;0,00;0,00;0,00;156,00;156,00
ANEURIN BEVAN;Malpas Brook Health Centre;1 477,00;2 917,00;1 536,00;528,00;6 458,00
ANEURIN BEVAN;Market Street Practice;2 596,00;4 534,00;164,00;1 110,00;8 404,00
ANEURIN BEVAN;Markham Medical Centre;473,00;1 115,00;105,00;1 596,00;3 289,00
ANEURIN BEVAN;Meddygfa Tridwr;3 066,00;3 708,00;778,00;1 723,00;9 275,00
ANEURIN BEVAN;Mount Pleasant Practice;2 933,00;4 473,00;319,00;964,00;8 689,00
ANEURIN BEVAN;Nantgarw Road Medical Centre;3 030,00;1 962,00;60,00;976,00;6 028,00
ANEURIN BEVAN;Nelson Surgery;1 979,00;2 600,00;4,00;384,00;4 967,00
ANEURIN BEVAN;New Chapel Street Surgery;687,00;1 269,00;44,00;1 305,00;3 305,00
ANEURIN BEVAN;North Celynen Practice;287,00;4 992,00;883,00;3 849,00;10 011,00
ANEURIN BEVAN;Oak Street Surgery;2 503,00;463,00;528,00;4 900,00;8 394,00
ANEURIN BEVAN;Oakfield Surgery;2 407,00;2 411,00;1 549,00;1 711,00;8 078,00
ANEURIN BEVAN;Old Station Surgery;2 695,00;6 330,00;4 357,00;656,00;14 038,00
ANEURIN BEVAN;Panteg Health Centre;1 621,00;2 655,00;662,00;241,00;5 179,00
ANEURIN BEVAN;Park Surgery;1 798,00;2 454,00;164,00;1 126,00;5 542,00
ANEURIN BEVAN;Pengam Health Centre;201,00;1 647,00;4,00;575,00;2 427,00
ANEURIN BEVAN;Pen-Y-Cae Surgery;471,00;3 640,00;20,00;39,00;4 170,00
ANEURIN BEVAN;Pontllanfraith Health Centre;658,00;6 359,00;112,00;813,00;7 942,00
ANEURIN BEVAN;Raglan Surgery;12,00;1 733,00;147,00;12,00;1 904,00
ANEURIN BEVAN;Richmond Clinic;802,00;1 332,00;715,00;969,00;3 818,00
ANEURIN BEVAN;Ringland Medical Practice;2 337,00;3 430,00;489,00;3,00;6 259,00
ANEURIN BEVAN;Risca Surgery;3 967,00;11 666,00;2 438,00;2 593,00;20 664,00
ANEURIN BEVAN;Riverside Surgery;0,00;0,00;0,00;0,00;0,00
ANEURIN BEVAN;Six Bells Medical Centre;0,00;521,00;192,00;214,00;927,00
ANEURIN BEVAN;South Street Surgery;465,00;765,00;38,00;0,00;1 268,00
ANEURIN BEVAN;St David's Clinic;1 429,00;3 584,00;1 394,00;38,00;6 445,00
ANEURIN BEVAN;St Julians Medical Centre;560,00;2 554,00;840,00;1 125,00;5 079,00
ANEURIN BEVAN;St. Brides Medical Centre;1 421,00;0,00;366,00;518,00;2 305,00
ANEURIN BEVAN;St. Luke's Surgery;1 105,00;2 431,00;943,00;368,00;4 847,00
ANEURIN BEVAN;St. Paul's Clinic;961,00;1 844,00;6,00;244,00;3 055,00
ANEURIN BEVAN;Sunnybank Health Centre;610,00;1 935,00;0,00;358,00;2 903,00
ANEURIN BEVAN;The Health Centre;25,00;1 998,00;169,00;962,00;3 154,00
ANEURIN BEVAN;The Lawn Medical Practice;2 805,00;10 951,00;1 647,00;3 230,00;18 633,00
ANEURIN BEVAN;The Medical Centre;365,00;1 200,00;880,00;779,00;3 224,00
ANEURIN BEVAN;The Mount Surgery;8 070,00;1 424,00;1 862,00;2 551,00;13 907,00
ANEURIN BEVAN;The Rogerstone Practice;1 231,00;1 221,00;366,00;1 377,00;4 195,00
ANEURIN BEVAN;The Rugby Surgery;1 014,00;3 470,00;400,00;1 834,00;6 718,00
ANEURIN BEVAN;The Surgery;4 864,00;1 167,00;1 444,00;2 982,00;10 457,00
ANEURIN BEVAN;The Surgery James House;1 662,00;948,00;1 366,00;3 238,00;7 214,00
ANEURIN BEVAN;The Village Surgery;233,00;1 468,00;0,00;144,00;1 845,00
ANEURIN BEVAN;Town Gate Practice;2 686,00;2 010,00;2 204,00;1 460,00;8 360,00
ANEURIN BEVAN;Trosnant Lodge;4 945,00;2 697,00;663,00;1 377,00;9 682,00
ANEURIN BEVAN;Tudor Gate Surgery;3 936,00;4 847,00;346,00;1 757,00;10 886,00
ANEURIN BEVAN;Ty Bryn Surgery;1 384,00;3 080,00;481,00;385,00;5 330,00
ANEURIN BEVAN;Underwood Health Centre;732,00;1 176,00;432,00;432,00;2 772,00
ANEURIN BEVAN;Usk And Prescoed;0,00;32,00;0,00;170,00;202,00
ANEURIN BEVAN;Vauxhall Surgery;2 530,00;3 114,00;36,00;1 454,00;7 134,00
ANEURIN BEVAN;Wellspring Medical Centre;300,00;1 294,00;1 582,00;353,00;3 529,00
ANEURIN BEVAN;White Rose Medical Centre;2 112,00;4 066,00;728,00;1 303,00;8 209,00
ANEURIN BEVAN;Wye Dean Practice;706,00;216,00;171,00;365,00;1 458,00
ANEURIN BEVAN;Wye Valley Practice;1 588,00;1 572,00;114,00;456,00;3 730,00
BETSI CADWALADR UNI;16 Wynn Avenue;0,00;438,00;22,00;60,00;520,00
BETSI CADWALADR UNI;Allt Goch Medical Centre;48,00;769,00;6,00;594,00;1 417,00
BETSI CADWALADR UNI;Beech House Surgery;3 954,00;6 438,00;1 843,00;2 455,00;14 690,00
BETSI CADWALADR UNI;Berllan Surgery;24,00;480,00;0,00;457,00;961,00
BETSI CADWALADR UNI;Bodnant Surgery;244,00;1 392,00;875,00;21,00;2 532,00
BETSI CADWALADR UNI;Bodowen Surgery;1 160,00;775,00;1 450,00;2 644,00;6 029,00
BETSI CADWALADR UNI;Bodreinallt;3 340,00;153,00;1 411,00;806,00;5 710,00
BETSI CADWALADR UNI;Borras Park Surgery;1 516,00;2 350,00;74,00;1 191,00;5 131,00
BETSI CADWALADR UNI;Bradley's Practice;6 746,00;7 250,00;1 127,00;1 376,00;16 499,00
BETSI CADWALADR UNI;Bromfield Medical Centre;460,00;520,00;1 033,00;377,00;2 390,00
BETSI CADWALADR UNI;Bron Derw Medical Centre;878,00;706,00;1 217,00;219,00;3 020,00
BETSI CADWALADR UNI;Bron Meirion;958,00;0,00;1 114,00;166,00;2 238,00
BETSI CADWALADR UNI;Bron Seiont Hafan Iechyd;1 324,00;71,00;702,00;372,00;2 469,00
BETSI CADWALADR UNI;Bronyffynnon Surgery;776,00;1 823,00;154,00;2 828,00;5 581,00
BETSI CADWALADR UNI;Bryn Darland Surgery;374,00;269,00;185,00;3 159,00;3 987,00
BETSI CADWALADR UNI;Cadwgan Surgery;1 675,00;2 192,00;2 858,00;1 486,00;8 211,00
BETSI CADWALADR UNI;Caergwrle Medical Practice;0,00;0,00;182,00;909,00;1 091,00
BETSI CADWALADR UNI;Cambria Surgery;1 957,00;540,00;2 539,00;602,00;5 638,00
BETSI CADWALADR UNI;Canolfan Feddygol Yr Hen Orsaf;918,00;224,00;72,00;610,00;1 824,00
BETSI CADWALADR UNI;Canolfan Iechyd;2 609,00;1 362,00;545,00;831,00;5 347,00
BETSI CADWALADR UNI;Canolfan Iechyd Amlwch;4 978,00;1 226,00;1 610,00;2 169,00;9 983,00
BETSI CADWALADR UNI;Caritas Surgery;933,00;763,00;632,00;1 220,00;3 548,00
BETSI CADWALADR UNI;Central Surgery;6 068,00;4 243,00;2 774,00;1 752,00;14 837,00
BETSI CADWALADR UNI;Chirk Surgery;3 291,00;1 843,00;2 031,00;608,00;7 773,00
BETSI CADWALADR UNI;Clarence Medical Centre;2 502,00;3 086,00;3 196,00;2 146,00;10 930,00
BETSI CADWALADR UNI;Coed Y Glyn Surgery;1 099,00;630,00;1 002,00;400,00;3 131,00
BETSI CADWALADR UNI;Corwen House;1 728,00;1 008,00;11,00;127,00;2 874,00
BETSI CADWALADR UNI;Craig Y Don Medical Practice;1 737,00;356,00;1 162,00;664,00;3 919,00
BETSI CADWALADR UNI;Crane Medical Centre;0,00;0,00;268,00;499,00;767,00
BETSI CADWALADR UNI;Deeside Medical Centre;669,00;168,00;472,00;900,00;2 209,00
BETSI CADWALADR UNI;Dolwenith;0,00;120,00;48,00;0,00;168,00
BETSI CADWALADR UNI;Dr Pg Locum's Practice;507,00;288,00;174,00;448,00;1 417,00
BETSI CADWALADR UNI;Eyton Place Surgery;1 342,00;360,00;635,00;465,00;2 802,00
BETSI CADWALADR UNI;Felinheli &Porthaethwy Surgery;194,00;579,00;315,00;1 316,00;2 404,00
BETSI CADWALADR UNI;Flintshire Subs Misuse Service;1,00;11,00;0,00;0,00;12,00
BETSI CADWALADR UNI;Forge Road Surgery;3 716,00;741,00;4 451,00;828,00;9 736,00
BETSI CADWALADR UNI;Gerafon Surgery;3 168,00;5 402,00;810,00;418,00;9 798,00
BETSI CADWALADR UNI;Glanfa;724,00;416,00;0,00;110,00;1 250,00
BETSI CADWALADR UNI;GP Central OOH Service;5,00;6,00;21,00;0,00;32,00
BETSI CADWALADR UNI;Gresford Health Centre;2 288,00;974,00;1 367,00;1 802,00;6 431,00
BETSI CADWALADR UNI;Grosvenor Surgery;2 947,00;1 677,00;519,00;346,00;5 489,00
BETSI CADWALADR UNI;Gwrych Medical Centre;1 341,00;1 350,00;5 244,00;2 147,00;10 082,00
BETSI CADWALADR UNI;Hawarden Health Centre;5 118,00;786,00;856,00;3 181,00;9 941,00
BETSI CADWALADR UNI;Health Services Centre;1 958,00;0,00;1 641,00;57,00;3 656,00
BETSI CADWALADR UNI;Hillcrest Medical Centre;2 667,00;1 417,00;204,00;847,00;5 135,00
BETSI CADWALADR UNI;Hope Family Med Centre;6 085,00;92,00;3 772,00;969,00;10 918,00
BETSI CADWALADR UNI;Kings House Surgery;2 046,00;4 675,00;480,00;970,00;8 171,00
BETSI CADWALADR UNI;Kinmel Bay Medical Centre;1 119,00;0,00;294,00;1 503,00;2 916,00
BETSI CADWALADR UNI;Lakeside Medical Centre;355,00;507,00;1 823,00;12,00;2 697,00
BETSI CADWALADR UNI;Leeswood Surgery;24,00;0,00;506,00;82,00;612,00
BETSI CADWALADR UNI;Liverpool House;225,00;54,00;1 355,00;339,00;1 973,00
BETSI CADWALADR UNI;Llys Meddyg;69,00;0,00;1 573,00;51,00;1 693,00
BETSI CADWALADR UNI;Lonfa;0,00;794,00;31,00;0,00;825,00
BETSI CADWALADR UNI;Longford House Surgery;1 504,00;2 638,00;1 560,00;1 123,00;6 825,00
BETSI CADWALADR UNI;Madoc Surgery;0,00;144,00;0,00;36,00;180,00
BETSI CADWALADR UNI;Madryn House Surgery;1 635,00;480,00;178,00;210,00;2 503,00
BETSI CADWALADR UNI;Marches Medical Practice;5 280,00;5 160,00;159,00;2 911,00;13 510,00
BETSI CADWALADR UNI;Market St Surgery Hafan Iechyd;1 854,00;817,00;643,00;77,00;3 391,00
BETSI CADWALADR UNI;Meddygfa;3 171,00;186,00;106,00;1 296,00;4 759,00
BETSI CADWALADR UNI;Meddygfa Deiniol;0,00;0,00;0,00;0,00;0,00
BETSI CADWALADR UNI;Meddygfa Gwydir;5 070,00;1 767,00;547,00;441,00;7 825,00
BETSI CADWALADR UNI;Meddygfa Gyffin;2 294,00;702,00;0,00;308,00;3 304,00
BETSI CADWALADR UNI;Meddygfa Rhydbach;3 185,00;950,00;0,00;0,00;4 135,00
BETSI CADWALADR UNI;Meddygfa Star Surgery;0,00;648,00;190,00;501,00;1 339,00
BETSI CADWALADR UNI;Meddygfa Victoria;2 735,00;1 815,00;1 860,00;715,00;7 125,00
BETSI CADWALADR UNI;Middle Lane Surgery;900,00;144,00;570,00;332,00;1 946,00
BETSI CADWALADR UNI;Minfor Surgery;945,00;524,00;807,00;729,00;3 005,00
BETSI CADWALADR UNI;Mostyn House Medical Practice;4 850,00;919,00;585,00;595,00;6 949,00
BETSI CADWALADR UNI;Nightingale House Hospice;7,00;0,00;23,00;0,00;30,00
BETSI CADWALADR UNI;North Wales GP 00H Service;53,00;33,00;8,00;25,00;119,00
BETSI CADWALADR UNI;North Wales GP OOH Service;41,00;47,00;75,00;40,00;203,00
BETSI CADWALADR UNI;Overton Medical Practice;1 941,00;1 452,00;2 557,00;759,00;6 709,00
BETSI CADWALADR UNI;Panton Surgery;65,00;829,00;148,00;1 630,00;2 672,00
BETSI CADWALADR UNI;Parc Glas;3 271,00;896,00;710,00;1 760,00;6 637,00
BETSI CADWALADR UNI;Park House Surgery;3 945,00;3 924,00;1 546,00;1 882,00;11 297,00
BETSI CADWALADR UNI;Pen Y Bont Surgery;2 478,00;350,00;592,00;536,00;3 956,00
BETSI CADWALADR UNI;Pen Y Maes Health Centre;1 626,00;1 648,00;110,00;497,00;3 881,00
BETSI CADWALADR UNI;Pendre Surgery;3 845,00;6 034,00;4 536,00;4 984,00;19 399,00
BETSI CADWALADR UNI;Pennant Surgery;0,00;1 259,00;464,00;569,00;2 292,00
BETSI CADWALADR UNI;Plas Meddyg;8 187,00;4 396,00;1 428,00;2 206,00;16 217,00
BETSI CADWALADR UNI;Plas Menai Surgery;623,00;2 486,00;263,00;1 882,00;5 254,00
BETSI CADWALADR UNI;Plas Y Bryn Medical Centre;2 328,00;1 191,00;2 603,00;4 255,00;10 377,00
BETSI CADWALADR UNI;Quarry House;0,00;0,00;0,00;0,00;0,00
BETSI CADWALADR UNI;Queensferry Medical Practice;402,00;2 306,00;1 946,00;1 631,00;6 285,00
BETSI CADWALADR UNI;Rhoslan Surgery;2 199,00;110,00;798,00;615,00;3 722,00
BETSI CADWALADR UNI;Rhuddlan Surgery;175,00;232,00;31,00;33,00;471,00
BETSI CADWALADR UNI;Roseneath Medical Practice;5 336,00;3 108,00;1 171,00;974,00;10 589,00
BETSI CADWALADR UNI;Rysseldene Surgery;3 269,00;28,00;149,00;12,00;3 458,00
BETSI CADWALADR UNI;Seabank Surgery;0,00;0,00;266,00;24,00;290,00
BETSI CADWALADR UNI;Shotton Lane Surgery;787,00;1 788,00;640,00;906,00;4 121,00
BETSI CADWALADR UNI;Sms Gwynedd;0,00;0,00;0,00;0,00;0,00
BETSI CADWALADR UNI;St George's Crescent Surgery;1 765,00;1 429,00;130,00;451,00;3 775,00
BETSI CADWALADR UNI;St Marks Dee View Surgery;1 775,00;480,00;4,00;0,00;2 243,00
BETSI CADWALADR UNI;Strathmore Med Practice;5 338,00;4 024,00;1 113,00;2 130,00;12 605,00
BETSI CADWALADR UNI;Substance Misuse Service Rhyl;2 567,00;0,00;0,00;0,00;2 567,00
BETSI CADWALADR UNI;The Clinic;325,00;798,00;973,00;2 766,00;4 862,00
BETSI CADWALADR UNI;The Health Centre;7 485,00;10 827,00;6 796,00;10 052,00;35 160,00
BETSI CADWALADR UNI;The Laurels Surgery;2 173,00;779,00;198,00;982,00;4 132,00
BETSI CADWALADR UNI;The Medical Centre;3 460,00;570,00;2 716,00;692,00;7 438,00
BETSI CADWALADR UNI;The Quay Health Centre;0,00;0,00;120,00;0,00;120,00
BETSI CADWALADR UNI;The Quay Surgery;2 752,00;1 076,00;896,00;410,00;5 134,00
BETSI CADWALADR UNI;The Surgery;4 426,00;3 830,00;3 165,00;6 800,00;18 221,00
BETSI CADWALADR UNI;Treflan;4 837,00;322,00;1 788,00;24,00;6 971,00
BETSI CADWALADR UNI;Ty Doctor Isfryn;312,00;306,00;74,00;991,00;1 683,00
