CCG or Health Board;Practice Name;Abtard;Ebesque XL;Fencino;Venlalic XL;Grand Total
NHS FAREHAM & GOSPRT CCG;;46 053,00;57 257,00;35 233,00;27 148,00;165 691,00
NHS FYLDE & WYRE CCG;;87 846,00;35 540,00;33 879,00;23 282,00;180 547,00
NHS GLOUCESTERSHIRE CCG;;73 343,00;86 393,00;98 273,00;67 412,00;325 421,00
NHS GREATER PRESTON CCG;;118 297,00;31 887,00;44 131,00;34 043,00;228 358,00
NHS GREENWICH CCG;;72 869,00;133 307,00;39 565,00;17 000,00;262 741,00
NHS GT YARMTH & WAVE CCG;;45 986,00;67 096,00;33 542,00;20 695,00;167 319,00
NHS GTR HUDDERSFIELD CCG;;85 528,00;53 831,00;43 404,00;29 167,00;211 930,00
NHS GUILDFRD & WAVER CCG;;52 625,00;62 368,00;37 484,00;36 632,00;189 109,00
NHS HALTON CCG;;107 819,00;12 237,00;21 045,00;19 786,00;160 887,00
NHS HAMB RICH WHITBY CCG;;44 800,00;14 574,00;31 487,00;19 343,00;110 204,00
NHS HAMMERSMTH FULHM CCG;;36 979,00;44 143,00;24 039,00;14 595,00;119 756,00
NHS HARDWICK CCG;;61 322,00;18 132,00;27 243,00;10 239,00;116 936,00
NHS HARINGEY CCG;;44 425,00;43 433,00;36 696,00;15 675,00;140 229,00
NHS HARROGT & RURAL CCG;;42 659,00;8 850,00;31 000,00;15 288,00;97 797,00
NHS HARROW CCG;;33 026,00;99 947,00;20 023,00;8 503,00;161 499,00
NHS HARTLEPL & S-O-T CCG;;194 690,00;58 665,00;154 567,00;21 811,00;429 733,00
NHS HASTINGS & ROTHR CCG;;62 160,00;78 352,00;49 092,00;34 464,00;224 068,00
NHS HAVERING CCG;;61 432,00;61 592,00;60 718,00;22 725,00;206 467,00
NHS HEREFORDSHIRE CCG;;35 989,00;46 593,00;12 497,00;34 657,00;129 736,00
NHS HERTS VALLEYS CCG;;40 103,00;84 588,00;32 289,00;34 198,00;191 178,00
NHS HEYWD MIDD ROCHD CCG;;188 652,00;80 496,00;56 363,00;64 748,00;390 259,00
NHS HIGH WLD LEW HAV CCG;;18 394,00;34 612,00;12 655,00;22 779,00;88 440,00
NHS HILLINGDON CCG;;88 369,00;68 795,00;45 753,00;14 100,00;217 017,00
NHS HORSHM & MID SUS CCG;;82 581,00;54 057,00;45 458,00;19 188,00;201 284,00
NHS HOUNSLOW CCG;;28 118,00;77 631,00;25 084,00;11 659,00;142 492,00
NHS HULL CCG;;110 831,00;113 422,00;52 678,00;31 156,00;308 087,00
NHS IPSWICH & E SUFF CCG;;120 886,00;106 206,00;47 214,00;44 616,00;318 922,00
NHS ISLE OF WIGHT CCG;;26 336,00;20 615,00;16 770,00;14 668,00;78 389,00
NHS ISLINGTON CCG;;17 913,00;50 965,00;38 707,00;9 669,00;117 254,00
NHS KERNOW CCG;;208 174,00;140 081,00;125 800,00;172 664,00;646 719,00
NHS KINGSTON CCG;;25 223,00;16 800,00;17 481,00;10 938,00;70 442,00
NHS KNOWSLEY CCG;;79 463,00;46 799,00;17 346,00;23 921,00;167 529,00
NHS LAMBETH CCG;;28 983,00;36 816,00;13 862,00;16 962,00;96 623,00
NHS LANCASHIRE NORTH CCG;;27 032,00;24 138,00;32 895,00;32 646,00;116 711,00
NHS LEEDS NORTH CCG;;59 209,00;50 765,00;50 019,00;35 741,00;195 734,00
NHS LEEDS S & E CCG;;105 918,00;80 643,00;46 030,00;25 469,00;258 060,00
NHS LEEDS WEST CCG;;113 129,00;103 209,00;72 471,00;42 347,00;331 156,00
NHS LEICESTER CITY CCG;;44 279,00;39 290,00;34 207,00;21 504,00;139 280,00
NHS LEWISHAM CCG;;49 086,00;112 852,00;35 971,00;23 309,00;221 218,00
NHS LINCOLNSHIRE E CCG;;69 449,00;74 602,00;79 010,00;31 227,00;254 288,00
NHS LINCOLNSHIRE W CCG;;124 930,00;160 142,00;54 322,00;50 362,00;389 756,00
NHS LIVERPOOL CCG;;215 118,00;95 373,00;40 830,00;47 343,00;398 664,00
NHS LUTON CCG;;41 114,00;49 912,00;17 323,00;7 069,00;115 418,00
NHS MANSFLD & ASHFLD CCG;;67 302,00;23 346,00;31 171,00;18 515,00;140 334,00
NHS MEDWAY CCG;;177 912,00;135 092,00;47 356,00;41 066,00;401 426,00
NHS MERTON CCG;;31 976,00;56 370,00;22 941,00;17 675,00;128 962,00
NHS MID ESSEX CCG;;57 340,00;73 305,00;47 627,00;25 446,00;203 718,00
NHS MILTON KEYNES CCG;;63 062,00;37 391,00;48 197,00;12 139,00;160 789,00
NHS N & W READING CCG;;6 349,00;8 404,00;2 947,00;8 090,00;25 790,00
NHS N E W DEVON CCG;;190 182,00;190 014,00;79 440,00;108 893,00;568 529,00
NHS N LINCOLNSHIRE CCG;;86 248,00;43 254,00;86 311,00;43 761,00;259 574,00
NHS N STAFFORDSHIRE CCG;;65 649,00;42 086,00;37 435,00;39 004,00;184 174,00
NHS N WEST SURREY CCG;;52 339,00;44 630,00;24 494,00;30 620,00;152 083,00
NHS NE HANTS & FARNM CCG;;56 631,00;52 691,00;51 979,00;30 849,00;192 150,00
NHS NE LINCOLNSHIRE CCG;;39 149,00;57 007,00;33 913,00;29 133,00;159 202,00
NHS NENE CCG;;36 597,00;22 773,00;27 533,00;35 562,00;122 465,00
NHS NEWARK & SHERWD CCG;;31 472,00;12 058,00;19 667,00;12 691,00;75 888,00
NHS NEWBURY AND DIST CCG;;4 211,00;7 640,00;6 944,00;19 430,00;38 225,00
NHS NEWCASTL GATESHD CCG;;348 695,00;118 906,00;76 059,00;44 645,00;588 305,00
NHS NEWHAM CCG;;44 936,00;53 868,00;28 078,00;12 128,00;139 010,00
NHS NORTH DERBYSHIRE CCG;;156 101,00;47 556,00;63 674,00;31 707,00;299 038,00
NHS NORTH DURHAM CCG;;132 311,00;99 829,00;60 155,00;28 600,00;320 895,00
NHS NORTH EAST ESSEX CCG;;101 915,00;80 278,00;68 155,00;71 269,00;321 617,00
NHS NORTH HAMPSHIRE CCG;;66 848,00;48 669,00;44 104,00;33 065,00;192 686,00
NHS NORTH KIRKLEES CCG;;86 794,00;65 771,00;48 975,00;19 975,00;221 515,00
NHS NORTH MANCHESTER CCG;;145 756,00;136 324,00;67 810,00;47 168,00;397 058,00
NHS NORTH NORFOLK CCG;;31 615,00;101 589,00;39 129,00;28 006,00;200 339,00
NHS NORTH SOMERSET CCG;;65 080,00;40 020,00;35 544,00;22 987,00;163 631,00
NHS NORTH TYNESIDE CCG;;123 060,00;46 895,00;58 641,00;31 459,00;260 055,00
NHS NORTHUMBERLAND CCG;;170 824,00;47 961,00;51 829,00;24 975,00;295 589,00
NHS NORWICH CCG;;29 912,00;117 691,00;14 088,00;12 188,00;173 879,00
NHS NOTTINGHAM CITY CCG;;62 025,00;96 595,00;65 060,00;22 363,00;246 043,00
NHS NOTTINGHAM N & E CCG;;59 811,00;29 766,00;31 521,00;26 355,00;147 453,00
NHS NOTTINGHAM WEST CCG;;19 946,00;10 964,00;13 207,00;7 902,00;52 019,00
NHS OLDHAM CCG;;183 572,00;115 947,00;79 762,00;91 739,00;471 020,00
NHS OXFORDSHIRE CCG;;114 841,00;38 631,00;43 052,00;30 498,00;227 022,00
NHS PORTSMOUTH CCG;;28 104,00;70 669,00;32 848,00;27 440,00;159 061,00
NHS REDBRIDGE CCG;;50 191,00;50 335,00;35 840,00;27 487,00;163 853,00
NHS REDD & BROMSGRV CCG;;34 713,00;32 595,00;16 651,00;8 469,00;92 428,00
NHS RICHMOND CCG;;25 291,00;41 497,00;18 904,00;14 959,00;100 651,00
NHS ROTHERHAM CCG;;68 787,00;63 035,00;46 767,00;32 314,00;210 903,00
NHS RUSHCLIFFE CCG;;34 425,00;19 332,00;13 198,00;18 414,00;85 369,00
NHS S DEVON & TORBAY CCG;;108 030,00;117 079,00;74 277,00;62 929,00;362 315,00
NHS S EASTERN HANTS CCG;;26 463,00;43 051,00;34 467,00;23 936,00;127 917,00
NHS S GLOUCESTERSHRE CCG;;49 358,00;13 279,00;30 291,00;11 894,00;104 822,00
NHS S LINCOLNSHIRE CCG;;33 176,00;32 796,00;77 933,00;119 678,00;263 583,00
NHS SALFORD CCG;;187 685,00;76 234,00;22 522,00;13 841,00;300 282,00
NHS SANDWLL W BMNGHM CCG;;100 631,00;242 964,00;56 458,00;36 491,00;436 544,00
NHS SCARBORO RYEDALE CCG;;22 456,00;13 770,00;17 259,00;9 333,00;62 818,00
NHS SE STAFFS & SEIS CCG;;17 822,00;26 473,00;26 166,00;18 490,00;88 951,00
NHS SHEFFIELD CCG;;155 320,00;30 972,00;99 345,00;63 194,00;348 831,00
NHS SHROPSHIRE CCG;;107 110,00;58 423,00;68 581,00;66 441,00;300 555,00
NHS SLOUGH CCG;;24 543,00;32 051,00;12 376,00;14 010,00;82 980,00
NHS SOLIHULL CCG;;56 143,00;53 319,00;37 073,00;26 093,00;172 628,00
NHS SOMERSET CCG;;90 551,00;59 390,00;64 006,00;44 018,00;257 965,00
NHS SOUTH CHESHIRE CCG;;17 699,00;5 516,00;15 860,00;15 604,00;54 679,00
NHS SOUTH KENT COAST CCG;;64 814,00;96 109,00;26 291,00;16 344,00;203 558,00
NHS SOUTH MANCHESTER CCG;;109 849,00;84 898,00;50 572,00;18 979,00;264 298,00
NHS SOUTH NORFOLK CCG;;58 294,00;88 842,00;51 465,00;60 203,00;258 804,00
NHS SOUTH READING CCG;;9 162,00;13 053,00;2 849,00;4 341,00;29 405,00
NHS SOUTH SEFTON CCG;;119 282,00;75 318,00;37 842,00;30 304,00;262 746,00
NHS SOUTH TEES CCG;;225 424,00;82 437,00;125 094,00;49 866,00;482 821,00
NHS SOUTH TYNESIDE CCG;;151 460,00;36 269,00;48 191,00;17 355,00;253 275,00
NHS SOUTH WARWICKSHR CCG;;49 775,00;82 825,00;34 481,00;53 775,00;220 856,00
NHS SOUTH WORCS CCG;;94 878,00;56 052,00;43 613,00;28 000,00;222 543,00
NHS SOUTHAMPTON CCG;;51 618,00;36 651,00;39 929,00;20 194,00;148 392,00
NHS SOUTHEND CCG;;45 952,00;51 823,00;24 407,00;12 448,00;134 630,00
NHS SOUTHERN DERBYSH CCG;;59 019,00;123 600,00;43 947,00;44 512,00;271 078,00
NHS SOUTHPT & FORMBY CCG;;73 710,00;28 731,00;50 688,00;15 812,00;168 941,00
NHS SOUTHWARK CCG;;34 638,00;44 121,00;24 730,00;36 416,00;139 905,00
NHS ST HELENS CCG;;34 359,00;17 358,00;22 102,00;16 763,00;90 582,00
NHS STAFFORD & SURR CCG;;51 759,00;14 782,00;15 483,00;14 899,00;96 923,00
NHS STOCKPORT CCG;;152 157,00;104 854,00;46 381,00;48 061,00;351 453,00
NHS STOKE ON TRENT CCG;;85 632,00;81 436,00;26 521,00;37 256,00;230 845,00
NHS SUNDERLAND CCG;;201 822,00;90 378,00;64 208,00;42 997,00;399 405,00
NHS SURREY DOWNS CCG;;48 813,00;51 221,00;20 698,00;40 879,00;161 611,00
NHS SURREY HEATH CCG;;25 595,00;17 496,00;12 686,00;12 274,00;68 051,00
NHS SUTTON CCG;;32 389,00;39 179,00;28 501,00;17 381,00;117 450,00
NHS SW LINCOLNSHIRE CCG;;42 131,00;20 020,00;50 029,00;24 181,00;136 361,00
NHS SWALE CCG;;49 088,00;55 029,00;8 019,00;11 555,00;123 691,00
NHS SWINDON CCG;;61 250,00;32 410,00;42 536,00;24 654,00;160 850,00
NHS TAMESIDE GLOSSOP CCG;;110 945,00;57 576,00;36 436,00;45 424,00;250 381,00
NHS TELFORD & WREKIN CCG;;88 602,00;54 591,00;44 072,00;46 367,00;233 632,00
NHS THANET CCG;;31 897,00;72 544,00;21 841,00;16 055,00;142 337,00
NHS THURROCK CCG;;35 273,00;31 258,00;11 550,00;9 475,00;87 556,00
NHS TOWER HAMLETS CCG;;53 206,00;46 701,00;22 995,00;12 642,00;135 544,00
NHS TRAFFORD CCG;;158 005,00;43 340,00;81 906,00;40 416,00;323 667,00
NHS VALE OF YORK CCG;;82 525,00;57 521,00;37 603,00;26 229,00;203 878,00
NHS VALE ROYAL CCG;;16 453,00;5 259,00;6 426,00;7 077,00;35 215,00
NHS W LEICESTERSHIRE CCG;;87 861,00;60 751,00;77 555,00;40 724,00;266 891,00
NHS WAKEFIELD CCG;;89 530,00;84 567,00;49 997,00;21 618,00;245 712,00
NHS WALSALL CCG;;89 856,00;88 274,00;44 598,00;27 392,00;250 120,00
NHS WALTHAM FOREST CCG;;56 521,00;92 902,00;15 017,00;28 628,00;193 068,00
NHS WANDSWORTH CCG;;32 420,00;62 272,00;36 098,00;32 139,00;162 929,00
NHS WARRINGTON CCG;;51 847,00;86 936,00;21 602,00;20 371,00;180 756,00
NHS WARWICKSHIRE N CCG;;35 600,00;78 001,00;18 327,00;32 389,00;164 317,00
NHS WEST CHESHIRE CCG;;60 214,00;38 706,00;40 290,00;52 346,00;191 556,00
NHS WEST ESSEX CCG;;33 094,00;54 040,00;29 230,00;31 030,00;147 394,00
NHS WEST HAMPSHIRE CCG;;143 578,00;98 772,00;113 080,00;81 264,00;436 694,00
NHS WEST KENT CCG;;287 587,00;294 101,00;114 709,00;30 718,00;727 115,00
NHS WEST LANCASHIRE CCG;;42 350,00;12 446,00;42 758,00;8 334,00;105 888,00
NHS WEST LONDON CCG;;44 624,00;64 330,00;20 533,00;9 767,00;139 254,00
NHS WEST NORFOLK CCG;;45 121,00;80 979,00;37 757,00;36 859,00;200 716,00
NHS WEST SUFFOLK CCG;;71 620,00;87 421,00;46 050,00;65 116,00;270 207,00
NHS WIGAN BOROUGH CCG;;151 094,00;152 705,00;159 098,00;27 972,00;490 869,00
NHS WILTSHIRE CCG;;66 356,00;41 618,00;59 637,00;66 075,00;233 686,00
NHS WINDS ASC MAIDEN CCG;;20 179,00;30 732,00;8 293,00;15 621,00;74 825,00
NHS WIRRAL CCG;;50 817,00;14 357,00;14 173,00;24 780,00;104 127,00
NHS WOKINGHAM CCG;;6 717,00;10 842,00;11 796,00;11 691,00;41 046,00
NHS WOLVERHAMPTON CCG;;80 514,00;120 061,00;42 592,00;23 719,00;266 886,00
NHS WYRE FOREST CCG;;39 685,00;34 275,00;12 408,00;5 765,00;92 133,00
POWYS TEACHING;;46 355,00;42 138,00;44 890,00;11 711,00;145 094,00
